-----------------------------------------|---------|----------|---------|---------|-------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-----------------------------------------|---------|----------|---------|---------|-------------------
  inspections.module.ts                  |       0 |      100 |     100 |       0 | 1-11              
  inspections.service.ts                 |       0 |        0 |       0 |       0 | 1-58              
 src/modules/inspections/dto             |       0 |      100 |     100 |       0 |                   
  create-inspection.dto.ts               |       0 |      100 |     100 |       0 | 1                 
  update-inspection.dto.ts               |       0 |      100 |     100 |       0 | 1-4               
 src/modules/inspections/entities        |       0 |      100 |     100 |       0 |                   
  inspection.entity.ts                   |       0 |      100 |     100 |       0 | 1                 
 src/modules/invoices                    |       0 |        0 |       0 |       0 |                   
  invoices.controller.ts                 |       0 |        0 |       0 |       0 | 1-35              
  invoices.module.ts                     |       0 |      100 |     100 |       0 | 1-12              
  invoices.service.ts                    |       0 |        0 |       0 |       0 | 1-141             
 src/modules/invoices/dto                |       0 |      100 |     100 |       0 |                   
  create-invoice.dto.ts                  |       0 |      100 |     100 |       0 | 1                 
  update-invoice.dto.ts                  |       0 |      100 |     100 |       0 | 1-4               
 src/modules/invoices/entities           |       0 |      100 |     100 |       0 |                   
  invoice.entity.ts                      |       0 |      100 |     100 |       0 | 1                 
 src/modules/issues                      |       0 |        0 |       0 |       0 |                   
  issues.controller.ts                   |       0 |        0 |       0 |       0 | 1-35              
  issues.module.ts                       |       0 |      100 |     100 |       0 | 1-10              
  issues.service.ts                      |       0 |        0 |       0 |       0 | 1-96              
 src/modules/issues/dto                  |       0 |      100 |     100 |       0 |                   
  create-comment.dto.ts                  |       0 |      100 |     100 |       0 | 1-6               
  create-issue.dto.ts                    |       0 |      100 |     100 |       0 | 1-55              
  update-issue.dto.ts                    |       0 |      100 |     100 |       0 | 1-12              
 src/modules/material-requests           |       0 |        0 |       0 |       0 |                   
  material-requests.controller.ts        |       0 |        0 |       0 |       0 | 1-35              
  material-requests.module.ts            |       0 |      100 |     100 |       0 | 1-12              
  material-requests.service.ts           |       0 |        0 |       0 |       0 | 1-81              
  whatsapp.controller.ts                 |       0 |        0 |       0 |       0 | 1-67              
 src/modules/material-requests/dto       |       0 |      100 |     100 |       0 |                   
  create-material-request.dto.ts         |       0 |      100 |     100 |       0 | 1-6               
  update-material-request.dto.ts         |       0 |      100 |     100 |       0 | 1-4               
 src/modules/material-requests/entities  |       0 |      100 |     100 |       0 |                   
  material-request.entity.ts             |       0 |      100 |     100 |       0 | 1                 
